table_name	column_count
_orphan_api_keys_backup	38
_sqlx_migrations	6
alembic_version	1
announcement_reads	4
announcements	12
api_key_provider_mappings	8
api_keys	21
audit_logs	12
billing_rules	11
dimension_collectors	13
gemini_file_mappings	9
global_models	11
ldap_configs	15
management_tokens	14
models	17
oauth_providers	15
payment_callbacks	13
payment_orders	18
provider_api_keys	52
provider_endpoints	17
provider_usage_tracking	12
providers	23
proxy_node_events	5
proxy_nodes	29
refund_requests	24
request_candidates	24
stats_daily	29
stats_daily_api_key	14
stats_daily_error	8
stats_daily_model	12
stats_daily_provider	11
stats_hourly	16
stats_hourly_model	10
stats_hourly_provider	9
stats_hourly_user	11
stats_summary	17
stats_user_daily	14
system_configs	6
usage	85
user_model_usage_counts	6
user_oauth_links	9
user_preferences	13
user_sessions	22
users	19
video_tasks	50
wallet_daily_usage_ledgers	15
wallet_transactions	16
wallets	14
